Status_of_existing_checking_account,Duration,Credit_history,Purpose,Credit_amount,Savings_account_bonds,Present_employment_since,Installment_rate,Personal_status_sex,Other_debtors_guarantors,Present_residence_since,Property,Age,Other_installment_plans,Housing,Number_of_existing_credits,Job,Number_of_people_liable,Telephone,Foreign_worker,Credit_risk
No checking account,21,Critical account,Furniture/equipment,2288,< 100 DM,< 1 year,4,Female div/sep/married,None,4,Savings/Life insurance,23,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,48,All credits paid back,Business,3566,100 <= ... < 500 DM,4 <= ... < 7 years,4,Male single,None,2,Car/other,30,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,6,Critical account,Car (new),860,< 100 DM,>= 7 years,1,Female div/sep/married,None,4,Unknown/No property,39,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,12,Critical account,Car (new),682,100 <= ... < 500 DM,4 <= ... < 7 years,4,Female div/sep/married,None,3,Car/other,51,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,36,Critical account,Furniture/equipment,5371,< 100 DM,1 <= ... < 4 years,3,Male single,Guarantor,2,Savings/Life insurance,28,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,18,Critical account,Radio/TV,1582,>= 1000 DM,>= 7 years,4,Male single,None,4,Car/other,46,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,6,Existing credits paid back,Radio/TV,1346,100 <= ... < 500 DM,>= 7 years,2,Male single,None,4,Unknown/No property,42,Bank,For free,1,Skilled employee,2,"Yes, registered",Yes,Good
No checking account,10,Existing credits paid back,Radio/TV,1924,< 100 DM,1 <= ... < 4 years,1,Male single,None,4,Savings/Life insurance,38,None,Own,1,Skilled employee,1,"Yes, registered",No,Good
>= 200 DM/salary assigned,36,Existing credits paid back,Radio/TV,5848,< 100 DM,1 <= ... < 4 years,4,Male single,None,1,Car/other,24,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,24,Critical account,Car (used),7758,>= 1000 DM,>= 7 years,2,Female div/sep/married,None,4,Unknown/No property,29,None,Rent,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,24,Delayed payments,Business,6967,100 <= ... < 500 DM,4 <= ... < 7 years,4,Male single,None,4,Car/other,36,None,Rent,1,Management/self-employed,1,"Yes, registered",Yes,Good
< 0 DM,12,Existing credits paid back,Furniture/equipment,1282,< 100 DM,1 <= ... < 4 years,2,Female div/sep/married,None,4,Car/other,20,None,Rent,1,Skilled employee,1,None,Yes,Bad
< 0 DM,9,Critical account,Repairs,1288,100 <= ... < 500 DM,>= 7 years,3,Male single,Guarantor,4,Real estate,48,None,Own,2,Skilled employee,2,None,No,Good
< 0 DM,12,All credits paid back,Retraining,339,< 100 DM,>= 7 years,4,Male married/widowed,None,1,Car/other,45,Bank,Own,1,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,24,Existing credits paid back,Car (new),3512,100 <= ... < 500 DM,4 <= ... < 7 years,2,Male single,None,3,Car/other,38,Bank,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,6,Critical account,Radio/TV,1898,Unknown/No savings,1 <= ... < 4 years,1,Male single,None,2,Real estate,34,None,Own,2,Unskilled-resident,2,None,Yes,Good
No checking account,24,Critical account,Radio/TV,2872,100 <= ... < 500 DM,>= 7 years,3,Male single,None,4,Real estate,36,None,Own,1,Skilled employee,2,"Yes, registered",Yes,Good
No checking account,18,Critical account,Car (new),1055,< 100 DM,< 1 year,4,Female div/sep/married,None,1,Savings/Life insurance,30,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,15,Existing credits paid back,Domestic appliances,1262,500 <= ... < 1000 DM,4 <= ... < 7 years,4,Male single,None,3,Savings/Life insurance,36,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,10,Existing credits paid back,Car (new),7308,< 100 DM,Unemployed,2,Male single,None,4,Unknown/No property,70,Bank,For free,1,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,36,Existing credits paid back,Car (new),909,500 <= ... < 1000 DM,>= 7 years,4,Male single,None,4,Savings/Life insurance,36,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,6,Existing credits paid back,Furniture/equipment,2978,500 <= ... < 1000 DM,1 <= ... < 4 years,1,Male single,None,2,Car/other,32,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,18,Existing credits paid back,Furniture/equipment,1131,< 100 DM,Unemployed,4,Female div/sep/married,None,2,Car/other,33,None,Own,1,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,11,Existing credits paid back,Furniture/equipment,1577,>= 1000 DM,< 1 year,4,Female div/sep/married,None,1,Real estate,20,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,24,Existing credits paid back,Furniture/equipment,3972,< 100 DM,4 <= ... < 7 years,2,Female div/sep/married,None,4,Savings/Life insurance,25,None,Rent,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,24,Critical account,Business,1935,< 100 DM,>= 7 years,4,Male divorced/separated,None,4,Real estate,31,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Bad
< 0 DM,15,No credits/all paid,Car (new),950,< 100 DM,>= 7 years,4,Male single,None,3,Car/other,33,None,Rent,2,Skilled employee,2,None,Yes,Bad
No checking account,12,Existing credits paid back,Furniture/equipment,763,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,1,Real estate,26,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,24,Delayed payments,Furniture/equipment,2064,< 100 DM,Unemployed,3,Female div/sep/married,None,2,Savings/Life insurance,34,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,8,Existing credits paid back,Radio/TV,1414,< 100 DM,1 <= ... < 4 years,4,Male single,Guarantor,2,Real estate,33,None,Own,1,Skilled employee,1,None,No,Good
< 0 DM,21,Delayed payments,Education,3414,< 100 DM,< 1 year,2,Male single,None,1,Savings/Life insurance,26,None,Own,2,Skilled employee,1,None,Yes,Bad
No checking account,30,All credits paid back,Car (used),7485,Unknown/No savings,Unemployed,4,Female div/sep/married,None,1,Real estate,53,Bank,Own,1,Management/self-employed,1,"Yes, registered",Yes,Bad
< 0 DM,12,Existing credits paid back,Furniture/equipment,2577,< 100 DM,1 <= ... < 4 years,2,Male divorced/separated,None,1,Car/other,42,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,6,Critical account,Radio/TV,338,500 <= ... < 1000 DM,>= 7 years,4,Male single,None,4,Car/other,52,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,12,Existing credits paid back,Radio/TV,1963,< 100 DM,4 <= ... < 7 years,4,Male single,None,2,Car/other,31,None,Rent,2,Management/self-employed,2,"Yes, registered",Yes,Good
< 0 DM,21,Critical account,Car (new),571,< 100 DM,>= 7 years,4,Male single,None,4,Real estate,65,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,36,Delayed payments,Business,9572,< 100 DM,< 1 year,1,Male divorced/separated,None,1,Car/other,28,None,Own,2,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,36,Delayed payments,Business,4455,< 100 DM,1 <= ... < 4 years,2,Male divorced/separated,None,2,Real estate,30,Stores,Own,2,Management/self-employed,1,"Yes, registered",Yes,Bad
< 0 DM,21,All credits paid back,Car (new),1647,Unknown/No savings,1 <= ... < 4 years,4,Male single,None,2,Savings/Life insurance,40,None,Own,2,Unskilled-resident,2,None,Yes,Bad
No checking account,24,Critical account,Furniture/equipment,3777,>= 1000 DM,1 <= ... < 4 years,4,Male single,None,4,Real estate,50,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,18,Critical account,Car (new),884,< 100 DM,>= 7 years,4,Male single,None,4,Car/other,36,Bank,Own,1,Skilled employee,2,"Yes, registered",Yes,Bad
No checking account,15,Critical account,Radio/TV,1360,< 100 DM,1 <= ... < 4 years,4,Male single,None,2,Savings/Life insurance,31,None,Own,2,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,9,All credits paid back,Car (used),5129,< 100 DM,>= 7 years,2,Female div/sep/married,None,4,Unknown/No property,74,Bank,For free,1,Management/self-employed,2,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,16,Critical account,Car (new),1175,< 100 DM,Unemployed,2,Male single,None,3,Car/other,68,None,For free,3,Unemployed/non-resident,1,"Yes, registered",Yes,Good
< 0 DM,12,Existing credits paid back,Radio/TV,674,100 <= ... < 500 DM,4 <= ... < 7 years,4,Male married/widowed,None,1,Savings/Life insurance,20,None,Own,1,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,18,No credits/all paid,Furniture/equipment,3244,< 100 DM,1 <= ... < 4 years,1,Female div/sep/married,None,4,Car/other,33,Bank,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,24,Existing credits paid back,Business,4591,>= 1000 DM,1 <= ... < 4 years,2,Male single,None,3,Savings/Life insurance,54,None,Own,3,Management/self-employed,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,48,No credits/all paid,Business,3844,100 <= ... < 500 DM,4 <= ... < 7 years,4,Male single,None,4,Unknown/No property,34,None,For free,1,Unskilled-resident,2,None,Yes,Bad
0 <= ... < 200 DM,27,Existing credits paid back,Business,3915,< 100 DM,1 <= ... < 4 years,4,Male single,None,2,Car/other,36,None,Own,1,Skilled employee,2,"Yes, registered",Yes,Bad
No checking account,6,Existing credits paid back,Radio/TV,2108,< 100 DM,4 <= ... < 7 years,2,Male married/widowed,None,2,Real estate,29,None,Rent,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,45,Existing credits paid back,Radio/TV,3031,100 <= ... < 500 DM,1 <= ... < 4 years,4,Male single,Guarantor,4,Savings/Life insurance,21,None,Rent,1,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,9,Critical account,Education,1501,< 100 DM,>= 7 years,2,Female div/sep/married,None,3,Car/other,34,None,Own,2,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,6,Critical account,Radio/TV,1382,< 100 DM,1 <= ... < 4 years,1,Female div/sep/married,None,1,Car/other,28,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Furniture/equipment,951,100 <= ... < 500 DM,< 1 year,4,Female div/sep/married,None,4,Car/other,27,Bank,Rent,4,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,24,Existing credits paid back,Car (used),2760,Unknown/No savings,>= 7 years,4,Male single,None,4,Unknown/No property,36,Bank,For free,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,18,Delayed payments,Furniture/equipment,4297,< 100 DM,>= 7 years,4,Male divorced/separated,None,3,Unknown/No property,40,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,9,Critical account,Education,936,500 <= ... < 1000 DM,>= 7 years,4,Male single,None,2,Car/other,52,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,12,Existing credits paid back,Car (new),1168,< 100 DM,1 <= ... < 4 years,4,Male married/widowed,None,3,Real estate,27,None,Own,1,Unskilled-resident,1,None,Yes,Good
No checking account,27,Delayed payments,Business,5117,< 100 DM,4 <= ... < 7 years,3,Male single,None,4,Car/other,26,None,Own,2,Skilled employee,1,None,Yes,Good
< 0 DM,12,Existing credits paid back,Retraining,902,< 100 DM,4 <= ... < 7 years,4,Male married/widowed,None,4,Savings/Life insurance,21,None,Rent,1,Skilled employee,1,None,Yes,Bad
No checking account,12,Critical account,Car (new),1495,< 100 DM,>= 7 years,4,Male single,None,1,Real estate,38,None,Own,2,Unskilled-resident,2,None,Yes,Good
< 0 DM,30,Critical account,Car (used),10623,< 100 DM,>= 7 years,3,Male single,None,4,Unknown/No property,38,None,For free,3,Management/self-employed,2,"Yes, registered",Yes,Good
No checking account,12,Critical account,Furniture/equipment,1935,< 100 DM,>= 7 years,4,Male single,None,4,Real estate,43,None,Own,3,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,12,Critical account,Domestic appliances,1424,< 100 DM,4 <= ... < 7 years,4,Male single,None,3,Savings/Life insurance,26,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,24,Existing credits paid back,Business,6568,< 100 DM,1 <= ... < 4 years,2,Male married/widowed,None,2,Car/other,21,Stores,Own,1,Unskilled-resident,1,None,Yes,Good
No checking account,12,Existing credits paid back,Car (used),1413,>= 1000 DM,4 <= ... < 7 years,3,Male single,None,2,Savings/Life insurance,55,None,Own,1,Skilled employee,1,None,No,Good
No checking account,9,Critical account,Radio/TV,3074,Unknown/No savings,1 <= ... < 4 years,1,Male single,None,2,Real estate,33,None,Own,2,Skilled employee,2,None,Yes,Good
No checking account,36,Existing credits paid back,Radio/TV,3835,Unknown/No savings,>= 7 years,2,Female div/sep/married,None,4,Real estate,45,None,Own,1,Unskilled-resident,1,"Yes, registered",Yes,Good
< 0 DM,27,No credits/all paid,Business,5293,< 100 DM,Unemployed,2,Male single,None,4,Savings/Life insurance,50,Stores,Own,2,Skilled employee,1,"Yes, registered",Yes,Bad
>= 200 DM/salary assigned,30,Delayed payments,Business,1908,< 100 DM,>= 7 years,4,Male single,None,4,Real estate,66,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,36,Critical account,Radio/TV,3342,Unknown/No savings,>= 7 years,4,Male single,None,2,Car/other,51,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,6,Critical account,Retraining,932,Unknown/No savings,4 <= ... < 7 years,1,Female div/sep/married,None,3,Savings/Life insurance,39,None,Own,2,Unskilled-resident,1,None,Yes,Good
< 0 DM,18,No credits/all paid,Business,3104,< 100 DM,4 <= ... < 7 years,3,Male single,None,1,Savings/Life insurance,31,Bank,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,36,Existing credits paid back,Radio/TV,3913,< 100 DM,1 <= ... < 4 years,2,Male single,None,2,Real estate,23,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,24,Existing credits paid back,Furniture/equipment,3021,< 100 DM,1 <= ... < 4 years,2,Male divorced/separated,None,2,Real estate,24,None,Rent,1,Unskilled-resident,1,None,Yes,Good
No checking account,10,Existing credits paid back,Car (new),1364,< 100 DM,1 <= ... < 4 years,2,Female div/sep/married,None,4,Car/other,64,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Radio/TV,625,< 100 DM,< 1 year,4,Male married/widowed,Guarantor,1,Real estate,26,Bank,Own,1,Unskilled-resident,1,None,Yes,Good
< 0 DM,12,Existing credits paid back,Education,1200,Unknown/No savings,1 <= ... < 4 years,4,Female div/sep/married,None,4,Savings/Life insurance,23,Bank,Rent,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,12,Existing credits paid back,Radio/TV,707,< 100 DM,1 <= ... < 4 years,4,Male single,None,2,Real estate,30,Bank,Own,2,Skilled employee,1,None,Yes,Good
No checking account,24,Delayed payments,Business,2978,Unknown/No savings,1 <= ... < 4 years,4,Male single,None,4,Real estate,32,None,Own,2,Skilled employee,2,"Yes, registered",Yes,Good
No checking account,15,Existing credits paid back,Car (used),4657,< 100 DM,1 <= ... < 4 years,3,Male single,None,2,Car/other,30,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,36,No credits/all paid,Repairs,2613,< 100 DM,1 <= ... < 4 years,4,Male single,None,2,Car/other,27,None,Own,2,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,48,Existing credits paid back,Radio/TV,10961,>= 1000 DM,4 <= ... < 7 years,1,Male single,Co-applicant,2,Unknown/No property,27,Bank,Own,2,Skilled employee,1,"Yes, registered",Yes,Bad
< 0 DM,12,Existing credits paid back,Furniture/equipment,7865,< 100 DM,>= 7 years,4,Male single,None,4,Unknown/No property,53,None,For free,1,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,9,Existing credits paid back,Radio/TV,1478,< 100 DM,4 <= ... < 7 years,4,Male single,None,2,Car/other,22,None,Own,1,Skilled employee,1,None,Yes,Bad
< 0 DM,24,Existing credits paid back,Furniture/equipment,3149,< 100 DM,< 1 year,4,Male single,None,1,Unknown/No property,22,Bank,For free,1,Skilled employee,1,None,Yes,Good
>= 200 DM/salary assigned,36,Existing credits paid back,Radio/TV,4210,< 100 DM,1 <= ... < 4 years,4,Male single,None,2,Car/other,26,None,Own,1,Skilled employee,1,None,Yes,Bad
No checking account,9,Existing credits paid back,Car (new),2507,500 <= ... < 1000 DM,>= 7 years,2,Male single,None,4,Unknown/No property,51,None,For free,1,Unskilled-resident,1,None,Yes,Good
No checking account,12,Existing credits paid back,Radio/TV,2141,100 <= ... < 500 DM,4 <= ... < 7 years,3,Male single,None,1,Unknown/No property,35,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,18,Existing credits paid back,Radio/TV,866,< 100 DM,1 <= ... < 4 years,4,Male married/widowed,Guarantor,2,Real estate,25,None,Own,1,Unskilled-resident,1,None,Yes,Good
No checking account,4,Critical account,Radio/TV,1544,< 100 DM,4 <= ... < 7 years,2,Male single,None,1,Real estate,42,None,Own,3,Unskilled-resident,2,None,Yes,Good
< 0 DM,24,Existing credits paid back,Radio/TV,1823,< 100 DM,Unemployed,4,Male single,None,2,Car/other,30,Stores,Own,1,Management/self-employed,2,None,Yes,Bad
0 <= ... < 200 DM,6,Existing credits paid back,Car (new),14555,Unknown/No savings,Unemployed,1,Male single,None,2,Savings/Life insurance,23,None,Own,1,Unemployed/non-resident,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,21,Existing credits paid back,Business,2767,100 <= ... < 500 DM,>= 7 years,4,Male divorced/separated,None,2,Car/other,61,Bank,Rent,2,Unskilled-resident,1,None,Yes,Bad
No checking account,12,Critical account,Radio/TV,1291,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,2,Savings/Life insurance,35,None,Own,2,Skilled employee,1,None,Yes,Good
< 0 DM,30,Existing credits paid back,Radio/TV,2522,< 100 DM,>= 7 years,1,Male single,Guarantor,3,Savings/Life insurance,39,None,Own,1,Skilled employee,2,None,Yes,Good
< 0 DM,24,Existing credits paid back,Car (new),915,Unknown/No savings,>= 7 years,4,Female div/sep/married,None,2,Car/other,29,Bank,Own,1,Skilled employee,1,None,Yes,Bad
No checking account,6,Existing credits paid back,Radio/TV,1595,< 100 DM,4 <= ... < 7 years,3,Male single,None,2,Savings/Life insurance,51,None,Own,1,Skilled employee,2,None,Yes,Good
< 0 DM,48,No credits/all paid,Car (used),4605,< 100 DM,>= 7 years,3,Male single,None,4,Unknown/No property,24,None,For free,2,Skilled employee,2,None,Yes,Bad
No checking account,12,Critical account,Business,1185,< 100 DM,1 <= ... < 4 years,3,Female div/sep/married,None,2,Real estate,27,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,12,All credits paid back,Retraining,3447,500 <= ... < 1000 DM,1 <= ... < 4 years,4,Female div/sep/married,None,3,Real estate,35,None,Own,1,Unskilled-resident,2,None,Yes,Good
